record_id,building_id,building_name,building_type,timestamp,hour,electricity_kwh
1,B001,教学楼,Teaching,2025-12-01 00:00:00,0,29.67
2,B001,教学楼,Teaching,2025-12-01 01:00:00,1,22.32
3,B001,教学楼,Teaching,2025-12-01 02:00:00,2,25.34
4,B001,教学楼,Teaching,2025-12-01 03:00:00,3,24.74
5,B001,教学楼,Teaching,2025-12-01 04:00:00,4,30.92
6,B001,教学楼,Teaching,2025-12-01 05:00:00,5,30.22
7,B001,教学楼,Teaching,2025-12-01 06:00:00,6,32.82
8,B001,教学楼,Teaching,2025-12-01 07:00:00,7,23.18
9,B001,教学楼,Teaching,2025-12-01 08:00:00,8,77.50
10,B001,教学楼,Teaching,2025-12-01 09:00:00,9,72.85
11,B001,教学楼,Teaching,2025-12-01 10:00:00,10,75.17
12,B001,教学楼,Teaching,2025-12-01 11:00:00,11,78.66
13,B001,教学楼,Teaching,2025-12-01 12:00:00,12,72.97
14,B001,教学楼,Teaching,2025-12-01 13:00:00,13,75.09
15,B001,教学楼,Teaching,2025-12-01 14:00:00,14,80.56
16,B001,教学楼,Teaching,2025-12-01 15:00:00,15,79.35
17,B001,教学楼,Teaching,2025-12-01 16:00:00,16,75.51
18,B001,教学楼,Teaching,2025-12-01 17:00:00,17,79.99
19,B001,教学楼,Teaching,2025-12-01 18:00:00,18,98.48
20,B001,教学楼,Teaching,2025-12-01 19:00:00,19,88.91
21,B001,教学楼,Teaching,2025-12-01 20:00:00,20,98.57
22,B001,教学楼,Teaching,2025-12-01 21:00:00,21,30.79
23,B001,教学楼,Teaching,2025-12-01 22:00:00,22,26.51
24,B001,教学楼,Teaching,2025-12-01 23:00:00,23,24.31
25,B001,教学楼,Teaching,2025-12-02 00:00:00,0,33.95
26,B001,教学楼,Teaching,2025-12-02 01:00:00,1,26.52
27,B001,教学楼,Teaching,2025-12-02 02:00:00,2,23.62
28,B001,教学楼,Teaching,2025-12-02 03:00:00,3,23.68
29,B001,教学楼,Teaching,2025-12-02 04:00:00,4,32.71
30,B001,教学楼,Teaching,2025-12-02 05:00:00,5,29.81
31,B001,教学楼,Teaching,2025-12-02 06:00:00,6,32.27
32,B001,教学楼,Teaching,2025-12-02 07:00:00,7,31.36
